State,District,Cook_PVI_Numeric,Republican_Prob_2012,Republican_Prob_2016
New York,22,3,0.6735991023685272,0.6506699260896507
New York,23,3,0.6735991023685272,0.6506699260896507
New York,24,-3,0.08442413888664353,0.19062607814605936
New York,25,-5,0.03168330244275846,0.10571686202800692
New York,26,-13,0.0005185022532277386,0.007446762361515429
New York,27,7,0.9424944103047977,0.8808607813658753
North Carolina,1,-17,6.531740986085565e-05,0.0018865391788779882
North Carolina,2,11,0.9923758941399452,0.9670490303906403
North Carolina,3,10,0.9872671089845784,0.9541118109472355
North Carolina,4,-17,6.531740986085565e-05,0.0018865391788779882
North Carolina,5,12,0.9954443530802614,0.9764289775139728
North Carolina,6,11,0.9923758941399452,0.9670490303906403
North Carolina,7,11,0.9923758941399452,0.9670490303906403
North Carolina,8,12,0.9954443530802614,0.9764289775139728
North Carolina,9,10,0.9872671089845784,0.9541118109472355
North Carolina,10,11,0.9923758941399452,0.9670490303906403
North Carolina,11,12,0.9954443530802614,0.9764289775139728
North Carolina,12,-23,2.918624374782235e-06,0.0002389408919178783
North Carolina,13,9,0.9788081165482252,0.936429082157556
Ohio,1,6,0.9070902253241444,0.8396937868652009
Ohio,2,9,0.9788081165482252,0.936429082157556
Ohio,3,-14,0.0003089314049641187,0.005287244930150679
Ohio,4,9,0.9788081165482252,0.936429082157556
Ohio,5,8,0.9649290899200337,0.9125569112723472
Ohio,6,5,0.8532820728056519,0.7877299526405168
Ohio,7,5,0.8532820728056519,0.7877299526405168
Ohio,8,14,0.9983786787146792,0.9880286421484608
Ohio,9,-15,0.00018405035793924045,0.0037516078330491775
Ohio,10,2,0.5514358942496351,0.568891475802566
Ohio,11,-30,7.768227708470007e-08,2.140973888456326e-05
Ohio,12,8,0.9649290899200337,0.9125569112723472
Ohio,13,-12,0.000870116650498475,0.010479019144397502
Ohio,14,3,0.6735991023685272,0.6506699260896507
Ohio,15,6,0.9070902253241444,0.8396937868652009
Ohio,16,5,0.8532820728056519,0.7877299526405168
Oklahoma,1,16,0.9994240771480278,0.9939552709968434
Oklahoma,2,14,0.9983786787146792,0.9880286421484608
Oklahoma,3,24,0.9999908636358219,0.9996141781094845
Oklahoma,4,18,0.9997955597404138,0.9969568562032253
Oklahoma,5,13,0.9972812387131679,0.9831852210531473
Oregon,1,-6,0.019118331974973705,0.07727837452479874
Oregon,2,10,0.9872671089845784,0.9541118109472355
Oregon,3,-21,8.22498631229618e-06,0.00047593911738350313
Oregon,4,-2,0.13404410522504243,0.24949792805851903
Oregon,5,0,0.3037305957833255,0.39843721363982787
Pennsylvania,1,-25,1.0356660492377264e-06,0.0001199439329688179
Pennsylvania,2,-39,7.336775093696283e-10,9.626818232268813e-07
Pennsylvania,3,5,0.8532820728056519,0.7877299526405168
Pennsylvania,4,9,0.9788081165482252,0.936429082157556
Pennsylvania,5,6,0.9070902253241444,0.8396937868652009
Pennsylvania,6,1,0.42273381572432595,0.4831749609843627
Pennsylvania,7,0,0.3037305957833255,0.39843721363982787
Pennsylvania,8,-1,0.2062580556572305,0.3193769868679006
Pennsylvania,9,10,0.9872671089845784,0.9541118109472355
Pennsylvania,10,12,0.9954443530802614,0.9764289775139728
Pennsylvania,11,6,0.9070902253241444,0.8396937868652009
Pennsylvania,12,6,0.9070902253241444,0.8396937868652009
Pennsylvania,13,-12,0.000870116650498475,0.010479019144397502
Pennsylvania,14,-16,0.00010964512910895951,0.00266079092979828
Pennsylvania,15,2,0.5514358942496351,0.568891475802566
Pennsylvania,16,6,0.9070902253241444,0.8396937868652009
Pennsylvania,17,-4,0.05206788089236413,0.14299885661911807
Pennsylvania,18,6,0.9070902253241444,0.8396937868652009
Rhode Island,1,-14,0.0003089314049641187,0.005287244930150679
Rhode Island,2,-8,0.006868797674662523,0.04034043629381306
South Carolina,1,11,0.9923758941399452,0.9670490303906403
South Carolina,2,15,0.9990335614988052,0.9914890146477628
South Carolina,3,16,0.9994240771480278,0.9939552709968434
