State,District,Cook_PVI_Numeric,Adjusted_2012_Romney,Adjusted_2016_Trump,2012 Romney (%),2016 Trump (%)
Washington,4,14,59.7,57.92,59.7,57.92
Washington,5,6,53.5,52.17,53.5,52.17
Washington,6,-5,41.2,39.48,41.2,39.48
Washington,7,-28,18.1,12.18,18.1,12.18
Washington,8,2,48.1,44.67,48.1,44.67
Washington,9,-15,29.6,23.34,29.6,23.34
Washington,10,-4,41.1,39.9,41.1,39.9
West Virginia,1,9,62.18,68.0,62.18,68.0
West Virginia,2,8,60.0,66.0,60.0,66.0
West Virginia,3,6,65.0,73.0,65.0,73.0
Wisconsin,1,3,51.65,52.0,51.65,52.0
Wisconsin,2,-16,30.46,29.0,30.46,29.0
Wisconsin,3,-6,43.82,49.0,43.82,49.0
Wisconsin,4,-21,23.78,22.0,23.78,22.0
Wisconsin,5,12,61.31,57.0,61.31,57.0
Wisconsin,6,5,53.1,55.0,53.1,55.0
Wisconsin,7,0,50.92,58.0,50.92,58.0
Wisconsin,8,2,51.26,57.0,51.26,57.0
