State,District,Trump (%),Clinton (%),Representative
Ohio,4,64,31,Jim Jordan
Ohio,5,59,34,Bob Latta
Ohio,6,69,27,Bill Johnson
Ohio,7,62,33,Bob Gibbs
Ohio,8,65,30,Warren Davidson
Ohio,9,37,59,Marcy Kaptur
Ohio,10,51,44,Mike Turner
Ohio,11,17,81,Marcia Fudge
Ohio,12,53,42,Pat Tiberi
Ohio,13,45,51,Tim Ryan
Ohio,14,53,42,David Joyce
Ohio,15,55,40,Steve Stivers
Ohio,16,56,39,Jim Renacci
Oklahoma,1,61,33,Jim Bridenstine
Oklahoma,2,73,23,Markwayne Mullin
Oklahoma,3,74,21,Frank Lucas
Oklahoma,4,66,28,Tom Cole
Oklahoma,5,53,40,Steve Russell
Oregon,1,33,55,Suzanne Bonamici
Oregon,2,55,35,Greg Walden
Oregon,3,22,68,Earl Blumenauer
Oregon,4,44,45,Peter DeFazio
Oregon,5,42,46,Kurt Schrader
Pennsylvania,1,18,80,Bob Brady
Pennsylvania,2,8,90,Chaka Fattah
Pennsylvania,3,61,35,Mike Kelly
Pennsylvania,4,59,37,Scott Perry
Pennsylvania,5,62,34,Glenn Thompson
Pennsylvania,6,48,48,Ryan Costello
Pennsylvania,7,47,49,Patrick Meehan
Pennsylvania,8,48,48,Mike Fitzpatrick
Pennsylvania,9,70,27,Bill Shuster
Pennsylvania,10,66,30,Tom Marino
Pennsylvania,11,60,36,Lou Barletta
Pennsylvania,12,59,38,Keith Rothfus
Pennsylvania,13,32,65,Brendan Boyle
Pennsylvania,14,31,66,Mike Doyle
Pennsylvania,15,52,44,Charlie Dent
Pennsylvania,16,51,44,Joe Pitts
Pennsylvania,17,53,43,Matt Cartwright
Pennsylvania,18,58,39,Tim Murphy
Rhode Island,1,34,59,David Cicilline
Rhode Island,2,43,50,James Langevin
South Carolina,1,53,41,Mark Sanford
South Carolina,2,57,38,Joe Wilson
South Carolina,3,67,29,Jeff Duncan
South Carolina,4,60,34,Trey Gowdy
South Carolina,5,57,39,Mick Mulvaney
South Carolina,6,30,67,Jim Clyburn
South Carolina,7,58,39,Tom Rice
South Dakota,1,61.53,31.74,Kristi Noem
Tennessee,1,76.45,19.61,Phil Roe
Tennessee,2,64.71,29.53,Jimmy Duncan
Tennessee,3,65.07,30.05,Chuck Fleischmann
Tennessee,4,68.19,27.27,Scott DesJarlais
Tennessee,5,37.87,56.06,Jim Cooper
Tennessee,6,72.34,23.58,Diane Black
Tennessee,7,67.05,28.03,Marsha Blackburn
Tennessee,8,66.06,30.43,Stephen Fincher
Tennessee,9,20.03,76.93,Steve Cohen
Texas,1,72,25,Louie Gohmert
Texas,2,52,43,Ted Poe
Texas,3,54,40,Sam Johnson
Texas,4,75,22,John Ratcliffe
Texas,5,63,34,Jeb Hensarling
Texas,6,54,42,Joe Barton
Texas,7,47,48,John Culberson
Texas,8,72,24,Kevin Brady
Texas,9,18,79,Al Green
Texas,10,52,43,Michael McCaul
Texas,11,78,19,Mike Conaway
Texas,12,62,32,Kay Granger
Texas,13,80,17,Mac Thornberry
Texas,14,58,38,Randy Weber
Texas,15,40,56,Rubén Hinojosa
Texas,16,27,67,Beto O'Rourke
Texas,17,56,38,Bill Flores
Texas,18,20,76,Sheila Jackson Lee
Texas,19,72,23,Randy Neugebauer
Texas,20,34,60,Joaquín Castro
Texas,21,52,42,Lamar Smith
Texas,22,52,44,Pete Olson
Texas,23,46,49,Will Hurd
Texas,24,51,44,Kenny Marchant
Texas,25,55,40,Roger Williams
Texas,26,60,34,Michael Burgess
Texas,27,60,36,Blake Farenthold
Texas,28,38,58,Henry Cuellar
Texas,29,25,71,Gene Green
Texas,30,18,79,Eddie Bernice Johnson
Texas,31,53,40,John Carter
Texas,32,47,48,Pete Sessions
Texas,33,24,73,Marc Veasey
Texas,34,37,59,Filemon Vela Jr.
Texas,35,30,64,Lloyd Doggett
Texas,36,72,25,Brian Babin
Utah,1,49.7,22.4,22.3%
Utah,2,46.0,32.0,16.9%
Utah,3,47.2,23.3,24.5%
Utah,4,39.1,32.4,22.5%
Vermont,1,29.76,55.72,Peter Welch
Virginia,1,53,41,Rob Wittman
Virginia,2,48,45,Scott Rigell
Virginia,3,32,63,Bobby Scott
Virginia,4,37,58,Randy Forbes
Virginia,5,53,42,Robert Hurt
Virginia,6,59,35,Bob Goodlatte
Virginia,7,50,44,Dave Brat
Virginia,8,21,72,Don Beyer
Virginia,9,68,27,Morgan Griffith
Virginia,10,42,52,Barbara Comstock
Virginia,11,27,66,Gerry Connolly
Washington,1,38,54,Suzan DelBene
Washington,2,35,57,Rick Larsen
Washington,3,50,43,Jaime Herrera Beutler
Washington,4,58,35,Dan Newhouse
Washington,5,52,39,Cathy McMorris Rodgers
Washington,6,39,52,Derek Kilmer
Washington,7,12,82,Jim McDermott (114th Congress)
Washington,8,45,48,Dave Reichert
Washington,9,23,70,Adam Smith
Washington,10,40,51,Denny Heck
West Virginia,1,68,26,David McKinley
West Virginia,2,66,29,Alex Mooney
West Virginia,3,73,23,Evan Jenkins
Wisconsin,1,52,42,Paul Ryan
Wisconsin,2,29,65,Mark Pocan
Wisconsin,3,49,44,Ron Kind
Wisconsin,4,22,73,Gwen Moore
Wisconsin,5,57,37,Jim Sensenbrenner
Wisconsin,6,55,38,Glenn Grothman
Wisconsin,7,57,37,Sean Duffy
Wisconsin,8,56,38,Mike Gallagher
Wyoming,1,68.17,21.88,Liz Cheney
