State,District,Obama (%),Romney (%),Representative,
Texas,16,34.5,64.2,Beto O'Rourke,
Texas,17,60.4,37.7,Bill Flores,
Texas,18,22.81,76.13,Sheila Jackson Lee,
Texas,19,73.6,25.0,Randy Neugebauer,
Texas,20,39.7,58.9,Joaquín Castro,
Texas,21,59.84,37.9,Lamar Smith,
Texas,22,62.13,36.7,Pete Olson,
Texas,23,50.74,48.1,Pete Gallego,
Texas,24,60.44,37.99,Kenny Marchant,
Texas,25,59.9,37.8,Roger Williams,
Texas,26,67.6,30.7,Michael Burgess,
Texas,27,60.53,38.19,Blake Farenthold,
Texas,28,38.7,60.3,Henry Cuellar,
Texas,29,32.99,65.9,Gene Green,
Texas,30,19.65,79.63,Eddie Bernice Johnson,
Texas,31,59.59,38.25,John Carter,
Texas,32,57,41.48,Pete Sessions,
Texas,33,27.1,71.95,Marc Veasey,
Texas,34,38.33,60.8,Filemon Vela Jr.,
Texas,35,34.63,63,Lloyd Doggett,
Texas,36,73.15,25.7,Steve Stockman,
Utah,1,78,20,Rob Bishop,
Utah,2,68,29,Chris Stewart,
Utah,3,79,20,Jason Chaffetz,
Utah,4,68,30,district created,
Vermont,1,30.97,66.57,Peter Welch,
Virginia,1,53.1,45.6,Rob Wittman,
Virginia,2,48.6,50.1,Scott Rigell,
Virginia,3,19.99,78.96,Robert C. Scott,
Virginia,4,50.14,48.77,Randy Forbes,
Virginia,5,52.55,45.88,Robert Hurt,
Virginia,6,58.84,39.46,Bob Goodlatte,
Virginia,7,56.94,41.72,Eric Cantor,
Virginia,8,31.0,67.76,Jim Moran,
Virginia,9,63.08,34.9,Morgan Griffith,
Virginia,10,49.9,48.8,Frank Wolf,
Virginia,11,36.3,62.46,Gerry Connolly,
West Virginia,1,62.18,35.54,David McKinley,
West Virginia,2,60,37.97,Shelley Moore Capito,
West Virginia,3,65,32.79,Nick Rahall,
Wisconsin,1,51.65,47.44,Paul Ryan,
Wisconsin,2,30.46,68.3,Mark Pocan,
Wisconsin,3,43.82,54.82,Ron Kind,
Wisconsin,4,23.78,75.33,Gwen Moore,
Wisconsin,5,61.31,37.75,Jim Sensenbrenner,
Wisconsin,6,53.1,45.77,Tom Petri,
Wisconsin,7,50.92,47.83,Sean Duffy,
Wisconsin,8,51.26,47.56,Reid Ribble,
Wyoming,1,68.64,27.82,Cynthia Lummis,
Washington,1,54.1,43.3,,
Washington,2,59.2,38.0,,
Washington,3,47.9,49.6,,
Washington,4,37.9,59.7,,
Washington,5,43.7,53.5,,
Washington,6,56.1,41.2,,
Washington,7,79.2,18.1,,
Washington,8,49.7,48.1,,
Washington,9,68.3,29.6,,
Washington,10,56.3,41.1,,
Alaska,1,40.81,54.80,,
